service,year,month,status,records,duration
green,2015,1,SUCCESS,1508493,44.034139
green,2015,2,SUCCESS,1574830,44.752931
green,2015,3,SUCCESS,1722574,45.236302
green,2015,4,SUCCESS,1664394,46.644627
green,2015,5,SUCCESS,1786848,48.034444
green,2015,6,SUCCESS,1638868,45.51162
green,2015,7,SUCCESS,1541671,44.06428
green,2015,8,SUCCESS,1532343,44.355789
green,2015,9,SUCCESS,1494927,43.068413
green,2015,10,SUCCESS,1630536,45.179705
green,2015,11,SUCCESS,1529984,46.048084
green,2015,12,SUCCESS,1608297,46.589371
green,2016,1,SUCCESS,1445292,43.957365
green,2016,2,SUCCESS,1510722,44.334377
green,2016,3,SUCCESS,1576393,44.731798
green,2016,4,SUCCESS,1543926,48.838017
green,2016,5,SUCCESS,1536979,48.410926
green,2016,6,SUCCESS,1404727,46.896115
green,2016,7,SUCCESS,1332510,46.152563
green,2016,8,SUCCESS,1247675,79.796171
green,2016,9,SUCCESS,1162373,49.770322
green,2016,10,SUCCESS,1252572,39.981303
green,2016,11,SUCCESS,1148214,35.959848
green,2016,12,SUCCESS,1224158,39.561968
green,2017,1,SUCCESS,1069565,39.844935
green,2017,2,SUCCESS,1022313,31.394112
green,2017,3,SUCCESS,1157827,42.294399
green,2017,4,SUCCESS,1080844,38.360788
green,2017,5,SUCCESS,1059463,33.393871
green,2017,6,SUCCESS,976467,32.342428
green,2017,7,SUCCESS,914783,31.400663
green,2017,8,SUCCESS,867407,30.157021
green,2017,9,SUCCESS,882464,32.706967
green,2017,10,SUCCESS,925737,30.56706
green,2017,11,SUCCESS,874173,30.311953
green,2017,12,SUCCESS,906016,31.521141
green,2018,1,SUCCESS,792744,29.356926
green,2018,2,SUCCESS,769197,29.17263
green,2018,3,SUCCESS,836246,29.842881
green,2018,4,SUCCESS,799383,29.008383
green,2018,5,SUCCESS,796552,29.616948
green,2018,6,SUCCESS,738546,39.363703
green,2018,7,SUCCESS,684374,28.99792
green,2018,8,SUCCESS,675815,27.956067
green,2018,9,SUCCESS,682032,27.868724
green,2018,10,SUCCESS,731888,28.686082
green,2018,11,SUCCESS,673287,27.305063
green,2018,12,SUCCESS,719654,28.2781
green,2019,1,SUCCESS,672105,27.795465
green,2019,2,SUCCESS,615594,26.240196
green,2019,3,SUCCESS,643063,27.471972
green,2019,4,SUCCESS,567852,26.511719
green,2019,5,SUCCESS,545452,21.49202
green,2019,6,SUCCESS,506238,21.836174
green,2019,7,SUCCESS,470743,20.043021
green,2019,8,SUCCESS,449695,20.468667
green,2019,9,SUCCESS,449063,21.382124
green,2019,10,SUCCESS,476386,20.372035
green,2019,11,SUCCESS,449500,19.96679
green,2019,12,SUCCESS,455294,21.843328
green,2020,1,SUCCESS,447770,21.472009
green,2020,2,SUCCESS,398632,20.393003
green,2020,3,SUCCESS,223496,17.32761
green,2020,4,SUCCESS,35644,9.586908
green,2020,5,SUCCESS,57361,10.564821
green,2020,6,SUCCESS,63110,10.901788
green,2020,7,SUCCESS,72258,12.478268
green,2020,8,SUCCESS,81063,11.875443
green,2020,9,SUCCESS,87987,11.616148
green,2020,10,SUCCESS,95120,11.249541
green,2020,11,SUCCESS,88605,12.893549
green,2020,12,SUCCESS,83130,11.198342
green,2021,1,SUCCESS,76518,12.024704
green,2021,2,SUCCESS,64572,10.43249
green,2021,3,SUCCESS,83827,10.456696
green,2021,4,SUCCESS,86941,12.592717
green,2021,5,SUCCESS,88180,10.982859
green,2021,6,SUCCESS,86737,11.346484
green,2021,7,SUCCESS,83691,10.83893
green,2021,8,SUCCESS,83499,11.751085
green,2021,9,SUCCESS,95709,10.106062
green,2021,10,SUCCESS,110891,11.583065
green,2021,11,SUCCESS,108229,11.778068
green,2021,12,SUCCESS,99961,12.213038
green,2022,1,SUCCESS,62495,11.629191
green,2022,2,SUCCESS,69399,10.623901
green,2022,3,SUCCESS,78537,12.045873
green,2022,4,SUCCESS,76136,11.93681
green,2022,5,SUCCESS,76891,11.160141
green,2022,6,SUCCESS,73718,11.689448
green,2022,7,SUCCESS,64192,9.65094
green,2022,8,SUCCESS,65929,11.516407
green,2022,9,SUCCESS,69031,10.983093
green,2022,10,SUCCESS,69322,10.170165
green,2022,11,SUCCESS,62313,9.765003
green,2022,12,SUCCESS,72439,10.398186
green,2023,1,SUCCESS,68211,12.223444
green,2023,2,SUCCESS,64809,10.290705
green,2023,3,SUCCESS,72044,13.118278
green,2023,4,SUCCESS,65392,10.031214
green,2023,5,SUCCESS,69174,9.315359
green,2023,6,SUCCESS,65550,10.429086
green,2023,7,SUCCESS,61343,9.716788
green,2023,8,SUCCESS,60649,10.615962
green,2023,9,SUCCESS,65471,10.127034
green,2023,10,SUCCESS,66177,9.398704
green,2023,11,SUCCESS,64025,10.132598
green,2023,12,SUCCESS,64215,11.09621
green,2024,1,SUCCESS,56551,13.440619
green,2024,2,SUCCESS,53577,12.84143
green,2024,3,SUCCESS,57457,9.251292
green,2024,4,SUCCESS,56471,11.546054
green,2024,5,SUCCESS,61003,10.199544
green,2024,6,SUCCESS,54748,9.734479
green,2024,7,SUCCESS,51837,10.973166
green,2024,8,SUCCESS,51771,9.368115
green,2024,9,SUCCESS,54440,10.622917
green,2024,10,SUCCESS,56147,10.148198
green,2024,11,SUCCESS,52222,10.827128
green,2024,12,SUCCESS,53994,9.463714
green,2025,1,SUCCESS,48326,9.491668
green,2025,2,SUCCESS,46621,9.572226
green,2025,3,SUCCESS,51539,12.068022
green,2025,4,SUCCESS,52132,9.200055
green,2025,5,SUCCESS,55399,11.288304
green,2025,6,SUCCESS,49390,10.281425
green,2025,7,SUCCESS,48205,9.505271
green,2025,8,SUCCESS,46306,9.175758
yellow,2015,1,SUCCESS,12741035,278.665914
yellow,2015,2,SUCCESS,12442394,244.075254
yellow,2015,3,SUCCESS,13342951,267.976041
yellow,2015,4,SUCCESS,13063758,259.147021
yellow,2015,5,SUCCESS,13157677,261.178826
yellow,2015,6,SUCCESS,12324936,241.622679
yellow,2015,7,NOT_FOUND,0,0.0
yellow,2015,8,SUCCESS,11123123,237.781948
yellow,2015,9,SUCCESS,11218122,225.155211
yellow,2015,10,SUCCESS,12307333,241.068238
yellow,2015,11,SUCCESS,11305240,225.762697
yellow,2015,12,SUCCESS,11452996,228.920309
yellow,2016,1,SUCCESS,10905067,217.152956
yellow,2016,2,SUCCESS,11375412,225.898226
yellow,2016,3,SUCCESS,12203824,241.766881
yellow,2016,4,SUCCESS,11927996,239.235559
yellow,2016,5,SUCCESS,11832049,238.445386
yellow,2016,6,SUCCESS,11131645,225.699227
yellow,2016,7,SUCCESS,10294080,211.282488
yellow,2016,8,SUCCESS,9942263,205.277609
yellow,2016,9,SUCCESS,10116018,209.328464
yellow,2016,10,SUCCESS,10854626,221.728686
yellow,2016,11,SUCCESS,10102128,206.753184
yellow,2016,12,SUCCESS,10446697,211.341904
yellow,2017,1,SUCCESS,9710820,198.001803
yellow,2017,2,SUCCESS,9169775,184.833318
yellow,2017,3,SUCCESS,10295441,210.359545
yellow,2017,4,SUCCESS,10047135,202.422368
yellow,2017,5,SUCCESS,10102127,204.43657
yellow,2017,6,SUCCESS,9656993,195.525541
yellow,2017,7,SUCCESS,8588486,180.060085
yellow,2017,8,SUCCESS,8422153,171.054724
yellow,2017,9,SUCCESS,8945421,181.517282
yellow,2017,10,SUCCESS,9768672,196.890314
yellow,2017,11,SUCCESS,9284803,186.399325
yellow,2017,12,SUCCESS,9508501,195.925835
yellow,2018,1,SUCCESS,8760687,179.057594
yellow,2018,2,SUCCESS,8492819,188.01925
yellow,2018,3,SUCCESS,9431289,194.333916
yellow,2018,4,SUCCESS,9306216,187.72934
yellow,2018,5,SUCCESS,9224788,186.92444
yellow,2018,6,SUCCESS,8714667,179.520977
yellow,2018,7,SUCCESS,7851143,164.130142
yellow,2018,8,SUCCESS,7855040,165.908028
yellow,2018,9,SUCCESS,8049094,169.105544
yellow,2018,10,SUCCESS,8834520,182.770956
yellow,2018,11,SUCCESS,8155449,170.163998
yellow,2018,12,SUCCESS,8195675,172.012497
yellow,2019,1,SUCCESS,7696617,161.284624
yellow,2019,2,SUCCESS,7049370,150.873957
yellow,2019,3,SUCCESS,7866620,166.446814
yellow,2019,4,SUCCESS,7475949,159.025644
yellow,2019,5,SUCCESS,7598445,162.988263
yellow,2019,6,SUCCESS,6971560,149.788457
yellow,2019,7,SUCCESS,6310419,135.197537
yellow,2019,8,SUCCESS,6073357,133.161031
yellow,2019,9,SUCCESS,6567788,137.541809
yellow,2019,10,SUCCESS,7213891,152.085152
yellow,2019,11,SUCCESS,6878111,148.10668
yellow,2019,12,SUCCESS,6896317,150.760281
yellow,2020,1,SUCCESS,6405008,137.173707
yellow,2020,2,SUCCESS,6299367,137.574112
yellow,2020,3,SUCCESS,3007687,74.075877
yellow,2020,4,SUCCESS,238073,14.168122
yellow,2020,5,SUCCESS,348415,15.54877
yellow,2020,6,SUCCESS,549797,23.106104
yellow,2020,7,SUCCESS,800412,30.121536
yellow,2020,8,SUCCESS,1007286,33.309599
yellow,2020,9,SUCCESS,1341017,42.37384
yellow,2020,10,SUCCESS,1681132,47.815625
yellow,2020,11,SUCCESS,1509000,43.695543
yellow,2020,12,SUCCESS,1461898,43.929343
yellow,2021,1,SUCCESS,1369769,42.377001
yellow,2021,2,SUCCESS,1371709,42.806432
yellow,2021,3,SUCCESS,1925152,49.39037
yellow,2021,4,SUCCESS,2171187,52.989624
yellow,2021,5,SUCCESS,2507109,63.161071
yellow,2021,6,SUCCESS,2834264,68.519495
yellow,2021,7,SUCCESS,2821746,69.080892
yellow,2021,8,SUCCESS,2788757,67.068221
yellow,2021,9,SUCCESS,2963793,69.592238
yellow,2021,10,SUCCESS,3463504,93.184518
yellow,2021,11,SUCCESS,3472949,81.557623
yellow,2021,12,SUCCESS,3214369,78.666059
yellow,2022,1,SUCCESS,2463931,62.340978
yellow,2022,2,SUCCESS,2979431,68.868956
yellow,2022,3,SUCCESS,3627882,84.516494
yellow,2022,4,SUCCESS,3599920,82.518561
yellow,2022,5,SUCCESS,3588295,81.996588
yellow,2022,6,SUCCESS,3558124,82.214038
yellow,2022,7,SUCCESS,3174394,77.924285
yellow,2022,8,SUCCESS,3152677,76.328996
yellow,2022,9,SUCCESS,3183767,76.749793
yellow,2022,10,SUCCESS,3675411,85.127218
yellow,2022,11,SUCCESS,3252717,78.155135
yellow,2022,12,SUCCESS,3399549,79.316227
yellow,2023,1,SUCCESS,3066766,75.999832
yellow,2023,2,SUCCESS,2913955,67.407982
yellow,2023,3,SUCCESS,3403766,80.17589
yellow,2023,4,SUCCESS,3288250,80.18966
yellow,2023,5,SUCCESS,3513649,80.320137
yellow,2023,6,SUCCESS,3307234,82.645814
yellow,2023,7,SUCCESS,2907108,68.198308
yellow,2023,8,SUCCESS,2824209,38.697408
yellow,2023,9,SUCCESS,2846722,37.848707
yellow,2023,10,SUCCESS,3522285,40.361805
yellow,2023,11,SUCCESS,3339715,40.535913
yellow,2023,12,SUCCESS,3376567,40.463955
yellow,2024,1,SUCCESS,2964624,39.667388
yellow,2024,2,SUCCESS,3007526,39.023014
yellow,2024,3,SUCCESS,3582628,39.203817
yellow,2024,4,SUCCESS,3514289,40.537454
yellow,2024,5,SUCCESS,3723833,40.043035
yellow,2024,6,SUCCESS,3539193,41.739713
yellow,2024,7,SUCCESS,3076903,40.906462
yellow,2024,8,SUCCESS,2979183,38.260331
yellow,2024,9,SUCCESS,3633030,46.258271
yellow,2024,10,SUCCESS,3833771,43.329243
yellow,2024,11,SUCCESS,3646369,44.992177
yellow,2024,12,SUCCESS,3668371,40.870253
yellow,2025,1,SUCCESS,3475226,40.47817
yellow,2025,2,SUCCESS,3577543,41.424859
yellow,2025,3,SUCCESS,4145257,43.384469
yellow,2025,4,SUCCESS,3970553,44.227771
yellow,2025,5,SUCCESS,4591845,48.044192
yellow,2025,6,SUCCESS,4322960,42.472864
yellow,2025,7,SUCCESS,3898963,44.220945
yellow,2025,8,SUCCESS,3574091,43.552568
